Point_ID,Statistic_ID,Name,Duration,Month,Value,Weight,Gs,Phi,Point_ID2,Distance,Phi2
1,9,cross-correlation_lag0,24H,10,0.908416192,2,1,0.474003792,6,13.72646058,0.594949484
1,9,cross-correlation_lag0,24H,10,0.741607092,2,1,0.474003792,7,42.27067713,0.591761708
1,9,cross-correlation_lag0,24H,10,0.71813424,2,1,0.474003792,8,33.16082709,0.806653976
1,9,cross-correlation_lag0,24H,10,0.90883436,2,1,0.474003792,9,23.51627224,0.578136881
1,9,cross-correlation_lag0,24H,10,0.685598269,2,1,0.474003792,10,40.35819741,0.931368828
1,9,cross-correlation_lag0,24H,10,0.852207844,2,1,0.474003792,11,36.3266383,0.697849433
1,9,cross-correlation_lag0,24H,10,0.732716606,2,1,0.474003792,12,30.71894923,0.778205156
1,9,cross-correlation_lag0,24H,10,0.912314953,2,1,0.474003792,13,21.38471721,0.59946239
1,9,cross-correlation_lag0,24H,10,0.917338859,2,1,0.474003792,14,25.79545886,0.505481203
1,9,cross-correlation_lag0,24H,10,0.793116614,2,1,0.474003792,15,36.97039694,0.710899909
1,9,cross-correlation_lag0,24H,11,0.926327724,2,1,0.57373937,2,26.21228706,0.6046772
1,9,cross-correlation_lag0,24H,11,0.841651265,2,1,0.57373937,3,43.08104103,0.654967308
1,9,cross-correlation_lag0,24H,11,0.834646691,2,1,0.57373937,4,46.95451725,1.037692865
1,9,cross-correlation_lag0,24H,11,0.935846716,2,1,0.57373937,5,21.50425849,0.487753749
1,9,cross-correlation_lag0,24H,11,0.913769173,2,1,0.57373937,6,13.72646058,0.715537866
1,9,cross-correlation_lag0,24H,11,0.763197337,2,1,0.57373937,7,42.27067713,0.671764692
1,9,cross-correlation_lag0,24H,11,0.744518621,2,1,0.57373937,8,33.16082709,0.929927985
1,9,cross-correlation_lag0,24H,11,0.921334418,2,1,0.57373937,9,23.51627224,0.700986226
1,9,cross-correlation_lag0,24H,11,0.762696946,2,1,0.57373937,10,40.35819741,1.034143051
1,9,cross-correlation_lag0,24H,11,0.869721515,2,1,0.57373937,11,36.3266383,0.78725489
