Point_ID,Statistic_ID,Name,Duration,Month,Value,Point_ID2,Distance,Phi2
1,9,cross-correlation_lag0,24H,11,0.852764047,12,30.71894923,0.923772097
1,9,cross-correlation_lag0,24H,11,0.894005805,13,21.38471721,0.737986088
1,9,cross-correlation_lag0,24H,11,0.874076719,14,25.79545886,0.60712417
1,9,cross-correlation_lag0,24H,11,0.827151404,15,36.97039694,0.839477142
1,9,cross-correlation_lag0,24H,12,0.899112432,2,26.21228706,0.693267981
1,9,cross-correlation_lag0,24H,12,0.839048073,3,43.08104103,0.714350939
1,9,cross-correlation_lag0,24H,12,0.825924037,4,46.95451725,1.261343479
1,9,cross-correlation_lag0,24H,12,0.916659805,5,21.50425849,0.547122081
1,9,cross-correlation_lag0,24H,12,0.946290181,6,13.72646058,0.872612317
1,9,cross-correlation_lag0,24H,12,0.841826334,7,42.27067713,0.761195898
1,9,cross-correlation_lag0,24H,12,0.873816252,8,33.16082709,1.110373179
1,9,cross-correlation_lag0,24H,12,0.909122416,9,23.51627224,0.839797179
1,9,cross-correlation_lag0,24H,12,0.848427381,10,40.35819741,1.279986779
1,9,cross-correlation_lag0,24H,12,0.86254378,11,36.3266383,0.942965746
1,9,cross-correlation_lag0,24H,12,0.882620755,12,30.71894923,1.168586095
1,9,cross-correlation_lag0,24H,12,0.917109379,13,21.38471721,0.852083365
1,9,cross-correlation_lag0,24H,12,0.900653179,14,25.79545886,0.691954056
1,9,cross-correlation_lag0,24H,12,0.860271566,15,36.97039694,1.036438545
2,1,variance,1H,1,0.068228413,NA,NA,NA
2,1,variance,1H,2,0.049945283,NA,NA,NA
2,1,variance,1H,3,0.050216709,NA,NA,NA
2,1,variance,1H,4,0.062260918,NA,NA,NA
2,1,variance,1H,5,0.296284165,NA,NA,NA
2,1,variance,1H,6,0.480956894,NA,NA,NA
2,1,variance,1H,7,0.657306331,NA,NA,NA
2,1,variance,1H,8,0.277478861,NA,NA,NA
2,1,variance,1H,9,0.178898823,NA,NA,NA
2,1,variance,1H,10,0.078631829,NA,NA,NA
2,1,variance,1H,11,0.083642985,NA,NA,NA
2,1,variance,1H,12,0.084113288,NA,NA,NA
